tester_idx,project_idx,label,match_prob
557,553,0,0.013955010174107276
1878,504,0,0.034162962009982464
1012,258,0,0.01314264057905929
888,812,0,0.03367637504617409
1616,862,0,0.036871194612337226
1700,189,0,0.028237474884188242
1045,248,0,0.012847584265160486
45,97,0,0.045249734015094537
890,154,0,0.010056214227509437
680,930,0,0.05197656323161736
208,515,0,0.01436163442020554
454,128,0,0.04737455580786398
55,61,1,0.05485734990704937
1172,795,0,0.04851932170026404
1466,506,0,0.02892944699731044
796,769,0,0.026443337497447518
1128,54,0,0.03593954456771267
726,651,0,0.05705014716001141
1053,141,0,0.04795692923498521
606,345,0,0.49784430735412727
1138,525,1,0.05701357714220594
1843,301,0,0.046993531464181594
112,20,0,0.04732249113184029
1190,129,0,0.0454529594669135
867,742,0,0.01584835512675517
1619,792,0,0.030768868312873503
1062,237,0,0.02818050289923328
1161,202,0,0.03261368680292943
1553,177,0,0.019833025243646826
37,381,0,0.04032767037814199
1649,379,0,0.010824811617389598
113,647,0,0.03255830855668463
317,172,0,0.020675759148931647
813,306,0,0.012962974866789337
1384,240,0,0.021722684773637185
1441,981,0,0.01398007101741188
1211,742,0,0.04498951321292491
407,176,0,0.056079060855402374
662,532,0,0.0149315914141869
1132,98,0,0.015458669519003133
919,545,0,0.07707779349075065
609,484,0,0.01746601497682701
1629,297,0,0.04196912476123599
1675,496,0,0.3885073935385001
424,8,0,0.06050602401439431
1768,632,0,0.05136622487415835
1808,195,1,0.013898353112021122
231,477,1,0.5152845942930804
376,23,0,0.039891303665157724
938,106,0,0.04290562677727277
353,973,0,0.05274125225328537
1365,670,1,0.42635611160451586
1311,339,0,0.07986894589001665
775,634,0,0.025002331930712232
842,857,0,0.03688131219102937
1264,877,0,0.05975603115418081
683,905,0,0.011187850926675492
798,286,0,0.010926539825504008
17,744,0,0.36377267145302944
1262,453,0,0.03452821625624761
487,504,0,0.0587777398604385
640,160,0,0.04203173677784503
906,462,0,0.019315046873163773
1562,755,0,0.017137746392715605
1497,564,0,0.0509190259133442
301,999,1,0.015060599153536004
1279,683,0,0.017211617747754256
1084,71,0,0.05027427217203045
243,385,1,0.6270827436173343
837,195,0,0.022243300553778808
380,996,0,0.05057576076456779
0,750,0,0.03149680158603743
341,202,0,0.015031694888454364
470,869,0,0.0316682586655787
21,130,0,0.023835725306462198
824,539,0,0.04543059407689519
1044,280,0,0.04790280672794251
1012,869,0,0.04188076965558935
1786,527,0,0.05415098126159358
243,56,0,0.05290961683434062
701,820,0,0.032334582768980734
1635,200,0,0.0562958092436218
1161,23,0,0.01269624472701822
937,432,0,0.04335825330215527
257,548,1,0.48135337342760887
1743,163,0,0.013890449081401503
1308,611,0,0.47534345018300067
949,297,0,0.04201166643926673
248,443,1,0.0262901472618328
1362,640,0,0.02117123260362065
388,269,0,0.46239464125990526
1045,316,0,0.01710540148549844
500,912,0,0.04988748338615615
1088,79,0,0.014888551367261475
253,367,0,0.043121837851748994
884,136,1,0.5724778643465357
1824,313,0,0.053394035265549894
270,336,0,0.04844951966987528
1218,448,0,0.03548263006005787
487,848,1,0.25686022580040785
1384,46,0,0.04479650413008296
586,115,0,0.03734951050616277
942,335,0,0.04648143374374253
377,856,0,0.022733195878257464
845,209,0,0.05026491919339506
242,478,1,0.02478716861699833
26,794,0,0.034019046052094756
687,400,0,0.037860039895385715
301,898,0,0.19461899442415376
359,185,0,0.030195149109659015
62,480,0,0.041507252549922206
1025,68,0,0.059610376593272396
5,411,0,0.04673280693560194
608,444,1,0.33223639959320134
1307,909,0,0.057495146894770824
1117,890,0,0.0280780730290174
64,877,1,0.7837263551057365
1546,832,0,0.04011651948577928
1222,598,1,0.01432563207232055
1890,976,0,0.05856434479601078
1394,132,0,0.05125082058954513
141,450,0,0.07303896278123216
390,459,0,0.013942195611643506
97,371,0,0.07875611486572352
129,35,0,0.037097464236364744
412,791,0,0.3983727807718429
582,573,0,0.028624247928183806
1773,741,0,0.020770156993166006
465,822,0,0.5642525453898133
1498,71,0,0.04010242365226058
613,861,0,0.045336172870372025
1962,425,0,0.037374865038957296
353,380,0,0.05005336250744952
1046,923,0,0.024371697437678464
630,899,0,0.011070296402160009
1295,145,0,0.41605797388079474
766,612,0,0.06197151917540233
435,205,0,0.052998396638925624
1106,745,0,0.05968336735011224
858,224,0,0.0494021124838981
333,781,0,0.03218413319972891
669,676,0,0.04182180593367771
724,389,0,0.030351226016822747
1433,363,0,0.3372548267654001
537,731,0,0.30531923152928697
1706,383,0,0.05297899120525108
516,53,0,0.019759411038478572
1672,773,1,0.05110482649973006
1407,347,0,0.44450112541613196
884,896,0,0.028401426473870305
233,271,0,0.010584124219472427
1664,354,0,0.035513965221090474
761,135,1,0.4401503343951311
897,160,0,0.01575975610487042
1850,737,0,0.01554013761842516
594,966,0,0.047853544708950674
1926,315,1,0.7102409318640391
1636,539,0,0.059351241268336206
1540,99,0,0.043451408413014175
180,429,1,0.5904969122738724
1201,493,1,0.022027095787041498
1980,538,1,0.37746472952759613
1619,374,0,0.014024177225744974
655,531,0,0.05991020125123238
1808,177,0,0.06207232653735273
1538,454,0,0.040042149193155144
1450,559,1,0.07940278751637012
1168,421,0,0.023767432511429633
274,787,0,0.05817430455661076
1399,741,0,0.5575592892327688
917,398,1,0.04367718646546755
44,781,0,0.05359353212342154
1316,712,0,0.019577404470248812
996,157,0,0.05311850366948663
347,625,0,0.061237358429771745
864,173,1,0.37132827550178715
390,190,0,0.01995690605204128
825,315,0,0.027026342372133368
1374,355,0,0.05824755574090396
1616,263,0,0.013659740734120048
53,750,0,0.04654675326838411
1491,952,0,0.048661818434647
78,645,1,0.040757637389387265
1995,732,0,0.046066452718324206
1701,43,0,0.07785525837570846
1154,115,0,0.03553692191853707
1439,920,0,0.06892938808651508
1426,266,0,0.02756292362532598
568,866,0,0.032176736373646576
1028,115,0,0.04599495982073878
188,87,1,0.03325620949901825
1766,458,0,0.02079344572854008
1474,803,0,0.034808766170283646
342,269,0,0.04221765465272056
384,239,0,0.017920999945391168
1320,587,0,0.017881403466993087
1244,216,0,0.019710944901797083
796,698,0,0.0222126389289125
840,98,0,0.028411636575017857
224,852,0,0.5045581981935137
882,890,0,0.025925667254877882
1585,65,0,0.029167569105207125
856,1,0,0.019956118553474303
525,57,0,0.021780633775568017
1002,683,0,0.03685321967925186
799,289,0,0.03351284236112413
1385,884,0,0.0565268407598186
77,785,0,0.05842621730649271
1494,691,0,0.036948863769322486
37,763,0,0.03266331346608678
1122,495,0,0.041389697563265375
1242,84,0,0.05398705871673122
1073,113,0,0.017448314159296513
1019,62,0,0.03392502201595316
1917,26,0,0.048983541791540984
359,983,0,0.05097334247143249
1725,528,0,0.02714046240034345
308,861,0,0.025942708766084017
452,574,0,0.04195479444123678
29,817,0,0.4546864511689111
1573,396,0,0.07091000931171533
1575,126,0,0.027955982392356436
1443,792,0,0.04628547110771546
180,189,0,0.019905116266030393
835,612,0,0.05780959045858688
517,12,0,0.038002617619172764
1107,822,0,0.04831848465131209
733,410,0,0.04162664020628913
182,21,0,0.05428734543082174
335,164,0,0.0357173438488529
1466,124,0,0.028360839808081954
301,62,1,0.34737186716216745
761,945,0,0.012349183493424572
15,94,0,0.05154729938800048
14,640,0,0.03512630412456662
1131,811,1,0.45903319606637727
1301,89,1,0.5689884769674036
1703,216,0,0.04275991985679723
1341,129,0,0.049920759684597873
171,905,0,0.030843856565521043
432,737,0,0.0590596424225926
982,809,0,0.061998572589094796
1593,883,0,0.019913321548174538
750,77,0,0.04329101035315625
512,852,0,0.046624953046062165
1837,554,0,0.042451078304971114
485,660,0,0.016686716829394602
966,168,0,0.03290347283712036
1008,526,1,0.029402827316074395
979,586,0,0.04189867370558464
355,823,0,0.0552330092240656
187,770,0,0.047474973199042814
1207,36,0,0.038208803515074156
682,68,0,0.4617222476429093
228,286,0,0.0233590584050664
581,248,0,0.018334437959756478
848,675,0,0.02669158451773944
1831,352,0,0.3076850637378707
117,184,0,0.02930490927123614
663,361,0,0.04154312825684102
182,407,0,0.04834719462337462
202,494,1,0.05052580274127478
557,557,1,0.03896105041366473
313,882,0,0.055816631597386174
335,278,0,0.011043719562213762
1419,924,0,0.542133229731956
1187,287,0,0.06917849232266712
1056,718,0,0.03844515650306844
499,440,0,0.016653968150960614
1298,505,0,0.07069978424438317
892,313,0,0.053199837733041225
1377,861,0,0.03037619416110797
1485,918,1,0.3139474372566959
1955,819,0,0.2561502339366252
1781,472,0,0.04078475381002507
816,65,0,0.010623596077183408
1160,876,0,0.0193791996283786
169,5,0,0.0390415991459408
1020,120,0,0.02174291003113937
